user_genome,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,red_value,warnings
SB_biofilm_MAG_11,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,96.9,0.805803251,N/A
SB_biofilm_MAG_81,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Ekhidna;s__,GCF_900188325.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Ekhidna;s__Ekhidna lutea,76.59,0.1,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,49.93,0.937455735,N/A
SB_biofilm_MAG_1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Marivirga;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,97.54,0.971617838,N/A
SB_biofilm_MAG_2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,97.44,0.898857821,N/A
SB_biofilm_MAG_83,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,51.2,0.79641849,N/A
SB_biofilm_MAG_5,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__,GCF_000331535.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__Fulvivirga imtechensis,76.22,0.06,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,98.21,0.886998796,N/A
SB_biofilm_MAG_4,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__,GCF_000331535.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__Fulvivirga imtechensis,76.8,0.06,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,98.27,0.886262212,N/A
SB_biofilm_MAG_69,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__,GCF_000331535.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__Fulvivirga imtechensis,76.34,0.05,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,65.74,0.886029354,N/A
SB_biofilm_MAG_56,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,80.24,0.734432913,N/A
SB_biofilm_MAG_6,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,95.09,0.73278407,N/A
SB_biofilm_MAG_45,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,84.59,0.705538147,N/A
SB_biofilm_MAG_14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,97.14,0.529162684,N/A
SB_biofilm_MAG_84,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,36.68,0.52389632,N/A
SB_biofilm_MAG_71,d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,64.37,0.656267038,N/A
SB_biofilm_MAG_53,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2862085;s__,GCA_002862085.1,95,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2862085;s__,79.09,0.42,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,84.73,0.926466486,N/A
SB_biofilm_MAG_37,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__Rubinisphaera;s__,GCF_000165715.2,95,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__Rubinisphaera;s__Rubinisphaera brasiliensis,83.38,0.63,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,91.06,0.976848689,N/A
SB_biofilm_MAG_60,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__,GCF_000153105.1,95,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__Blastopirellula marina,76.06,0.1,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,71,0.884372005,N/A
SB_biofilm_MAG_33,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__,GCF_000153105.1,95,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__Blastopirellula marina,76.25,0.1,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,84.15,0.881708795,N/A
SB_biofilm_MAG_38,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,85.38,0.841108653,N/A
SB_biofilm_MAG_66,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__,GCF_000284115.1,95,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera mikurensis,76.64,0.27,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,77.95,0.792883777,N/A
SB_biofilm_MAG_76,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__,GCF_000284115.1,95,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera mikurensis,76.22,0.17,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,53.82,0.792167024,N/A
SB_biofilm_MAG_26,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1924;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,89.22,0.882670083,N/A
SB_biofilm_MAG_7,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,91.36,0.748946783,N/A
SB_biofilm_MAG_49,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,76.17,0.748936289,N/A
SB_biofilm_MAG_82,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,39.17,0.746022717,N/A
SB_biofilm_MAG_36,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Waddliaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,91.8,0.795985763,N/A
SB_biofilm_MAG_78,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,57.02,0.87056742,N/A
SB_biofilm_MAG_52,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,79.01,0.729572043,N/A
SB_biofilm_MAG_9,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,90.33,0.688053047,N/A
SB_biofilm_MAG_61,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA1321;g__;s__,GCA_002304345.1,95,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA1321;g__UBA1321;s__,76.01,0.07,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,74.02,0.741346053,N/A
SB_biofilm_MAG_23,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,87.77,0.731176067,N/A
SB_biofilm_MAG_8,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,91.06,0.643900401,N/A
SB_biofilm_MAG_18,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Haloferula;s__,GCF_000739615.1,95,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Haloferula;s__,77.61,0.28,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,88.84,0.884200016,N/A
SB_biofilm_MAG_28,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__,GCA_002699025.1,95,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__GCA-2699025;s__,78.04,0.46,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,91.5,0.855560128,N/A
SB_biofilm_MAG_48,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__;s__,GCA_002862545.1,95,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__GCA-2862545;s__,76.19,0.13,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,96.41,0.763057733,N/A
SB_biofilm_MAG_59,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__;s__,GCA_002862545.1,95,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__GCA-2862545;s__,75.76,0.11,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,73.88,0.755097464,N/A
SB_biofilm_MAG_43,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__;s__,GCA_002862545.1,95,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__GCA-2862545;s__,75.86,0.12,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,96.58,0.734336395,N/A
SB_biofilm_MAG_70,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA998;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,64.75,0.620618595,N/A
SB_biofilm_MAG_63,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__MC1;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,89.31,0.560430284,N/A
SB_biofilm_MAG_51,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,85.84,0.888133351,N/A
SB_biofilm_MAG_35,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,98.47,0.850898747,N/A
SB_biofilm_MAG_80,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,48.24,0.849195535,N/A
SB_biofilm_MAG_27,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Geminicoccales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,93.96,0.727898999,Genome has more than 10.8% of markers with multiple hits
SB_biofilm_MAG_40,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium_A;s__,GCF_002198685.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium_A;s__Rhodomicrobium_A vannielii,77.77,0.29,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,91.12,0.899795989,N/A
SB_biofilm_MAG_13,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,99.52,0.851224229,N/A
SB_biofilm_MAG_77,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__,GCF_002237595.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__,79.24,0.43,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_000168975.1, s__Labrenzia aggregata, 95.0, 79.16, 0.47; GCF_001579905.1, s__Labrenzia sp1, 95.0, 79.11, 0.44; GCF_001404515.1, s__Labrenzia alba, 95.0, 77.96, 0.3; GCA_001890945.1, s__, 95.0, 77.58, 0.24; GCF_000158095.1, s__Labrenzia alexandrii, 95.0, 77.49, 0.24; GCF_900142725.1, s__Labrenzia suaedae, 95.0, 77.42, 0.24; GCF_001404055.1, s__Labrenzia alba_A, 95.0, 77.36, 0.24; GCF_000148725.1, s__, 95.0, 76.94, 0.1",59.09,0.9741086,N/A
SB_biofilm_MAG_57,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Phaeomarinobacteraceae;g__Phaeomarinobacter;s__,GCF_000689395.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Phaeomarinobacteraceae;g__Phaeomarinobacter;s__Phaeomarinobacter ectocarpi,79.04,0.47,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,79.32,0.928909308,N/A
SB_biofilm_MAG_22,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,97.16,0.835390096,N/A
SB_biofilm_MAG_29,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,GCF_000152745.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,86.87,0.89,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_000420265.1, s__Oceanicaulis alexandrii, 95.0, 83.99, 0.83; GCA_001657295.1, s__, 95.0, 78.38, 0.4; GCA_001314625.1, s__Oceanicaulis sp2, 95.0, 77.55, 0.25",87.79,0.989931562,N/A
SB_biofilm_MAG_25,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Maricaulis;s__,GCA_002707795.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Maricaulis;s__Maricaulis sp1,85.26,0.58,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCA_002694345.1, s__, 95.0, 81.58, 0.42; GCF_001924955.1, s__, 95.0, 80.56, 0.59; GCF_000014745.1, s__Maricaulis maris, 95.0, 80.42, 0.57; GCF_900103475.1, s__Maricaulis salignorans, 95.0, 78.73, 0.48",78.17,0.975581215,N/A
SB_biofilm_MAG_74,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__,GCF_001681735.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__Ruegeria_A mobilis,86.52,0.64,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_000014065.1, s__, 95.0, 81.86, 0.59; GCF_001518015.1, s__, 95.0, 80.08, 0.57; GCA_001874255.1, s__, 95.0, 79.94, 0.54",48.92,0.991249106,N/A
SB_biofilm_MAG_47,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__,GCF_001681735.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__Ruegeria_A mobilis,82.84,0.62,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_001518015.1, s__, 95.0, 81.86, 0.6; GCF_000014065.1, s__, 95.0, 81.77, 0.58; GCA_001874255.1, s__, 95.0, 81.4, 0.57",80.6,0.989585969,N/A
SB_biofilm_MAG_64,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__,GCF_001681735.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__Ruegeria_A mobilis,82.97,0.67,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_000014065.1, s__, 95.0, 81.63, 0.62; GCF_001518015.1, s__, 95.0, 81.08, 0.59; GCA_001874255.1, s__, 95.0, 80.72, 0.55",68.04,0.989383939,N/A
SB_biofilm_MAG_58,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,86.32,0.933133024,N/A
SB_biofilm_MAG_16,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,95.77,0.802439348,Genome has more than 10.0% of markers with multiple hits
